R_2AMACHYD	10691
R_r0584	(18826 and 3356) or (18826 and 3358)
R_r0587	438
R_r0590	29932
R_r0591	3356 or 3358
R_r0594	877
R_r0595	12388 or 7223
R_r0596	4908
R_r0603	(89 and 91) or (90 and 91)
R_r0604	2698
R_r0610	8876
R_r0611	8876
R_r0614	28107
R_r0615	30262 or 9721
R_r0616	30262 or 9721
R_r0617	30262 or 9721
R_r0618	30262 or 9721
R_r0620	8124
R_r0625	
R_r0626	
R_r0627	4296
R_r0629	932
R_r0630	932
R_r0633	18281 or 19691
R_r0634	(4803 and 82) or (4803 and 83)
R_r0636	2366
R_r0637	2366
R_r0638	18281 or 19691
R_r0639	(4803 and 82) or (4803 and 83)
R_r0641	4250 or 4251 or 4259 or 4260
R_r0642	403 or 404 or 407 or 412 or 877
R_r0643	403 or 404 or 407 or 412 or 877
R_r0644	553
R_r0648	4250 or 4251 or 4259 or 4260
R_r0649	4250 or 4251 or 4259 or 4260
R_r0650	10999
R_r0651	10999
R_r0652	18281 or 19691
R_r0653	(4803 and 82) or (4803 and 83)
R_r0655	6186 or 89
R_r0656	2698
R_r0660	3151 and 3247 and 4801
R_r0661	3151 and 3247 and 4801
R_r0666	4163
R_r0668	18290
R_r0669	3151 and 3247 and 4801
R_r0670	32393 and 986 and 987
R_r0671	25686
R_r0672	18324
R_r0673	11257
R_r0678	3594
R_r0679	15894 or 19365 or 19366 or 8598
R_r0680	15894 or 19365 or 19366 or 8598
R_r0681	3594
R_r0682	3594
R_r0683	89
R_r0686	406
R_r0688	403 or 404 or 407 or 412 or 877
R_r0691	3594
R_r0692	3594
R_r0693	3594
R_r0694	3594
R_r0695	3594
R_r0696	3594
R_r0697	3594
R_r0698	(4803 and 82) or (4803 and 83)
R_r0701	3594
R_r0702	3594
R_r0706	21497
R_r0707	438
R_r0708	4193
R_r0712	3594
R_r0713	3594
R_r0714	3247 and 4799 and 4801
R_r0715	3247 and 4799 and 4801
R_r0716	3151 and 3247 and 4801
R_r0717	3151 and 3247 and 4801
R_r0718	3247 and 4799 and 4801
R_r0719	3247 and 4799 and 4801
R_r0720	3151 and 3247 and 4801
R_r0721	3151 and 3247 and 4801
R_r0722	3247 and 4799 and 4801
R_r0723	3247 and 4799 and 4801
R_r0724	(4803 and 82) or (4803 and 83)
R_r0726	3247 and 4799 and 4801
R_r0727	3247 and 4799 and 4801
R_r0728	3151 and 3247 and 4801
R_r0729	3151 and 3247 and 4801
R_r0730	3247 and 4799 and 4801
R_r0731	3151 and 3247 and 4801
R_r0732	(4803 and 82) or (4803 and 83)
R_r0733	3247 and 4799 and 4801
R_r0734	3151 and 3247 and 4801
R_r0735	18281 or 19691
R_r0737	4298
R_r0739	(249 and 250 and 251) or 252 or 253 or 255 or 256
R_r0741	2605
R_r0743	5213
R_r0744	5213
R_r0747	387
R_r0750	387
R_r0752	405 or 409 or 410 or 411
R_r0753	405 or 409 or 410 or 411
R_r0754	405 or 409 or 410 or 411
R_r0755	405 or 409 or 410 or 411
R_r0756	405 or 409 or 410 or 411
R_r0757	405 or 409 or 410 or 411
R_r0758	403 or 404 or 407 or 412 or 877
R_r0760	3594
R_r0762	3594
R_r0763	3594
R_r0764	3594
R_r0765	3594
R_r0766	3594
R_r0767	3594
R_r0768	3594
R_r0769	3594
R_r0770	3594
R_r0771	3594
R_r0772	3594
R_r0773	3594
R_r0774	12591
R_r0775	4193
R_r0777	4193
R_r0779	4908
R_r0781	2649
R_r0782	12390
R_r0783	2859
R_r0784	
R_r0786	10817
R_r0787	17720 or 19953 or 9228 or 9229 or 9230
R_r0788	
R_r0789	
R_r0791	18281 or 19691
R_r0792	7436
R_r0795	
R_r0796	
R_r0797	932
R_r0800	
R_r1135	5215
R_r1154	2698 and 2898 and 986 and 987
R_r1156	12562 or 14859 or 15938
R_r1164	11177 or 11178
R_r1165	11177 or 11178
R_r1166	11177 or 11178
R_r1167	11177 or 11178
R_r1168	11177 or 11178
R_r1169	11177 or 11178
R_r1170	11177 or 11178
R_r1171	11177 or 11178
R_r1172	6617
R_r1173	6617
R_r1174	6617
R_r1175	6617
R_r1176	6617
R_r1177	6617
R_r1178	6617
R_r1179	6617
R_r1180	6617
R_r1181	6617
R_r1182	6617
R_r1183	6617
R_r1184	6617
R_r1251	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1252	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1253	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1254	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1255	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1257	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1259	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1260	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1262	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_r1313	26063
R_r1314	3594
R_r1315	3594
R_r1316	3594
R_r1317	25625
R_r1374	17432 or 1936
R_r1378	253
R_r1380	2859
R_r1382	3824
R_r1383	4248
R_r1391	321
R_r1392	321
R_r1393	9725
R_r1411	4298
R_r1418	1368 or 1371 or 1372 or 1373 or 1375 or 1380 or 1381 or 1382 or 1383 or 14914
R_r1431	10451 and 10452 and 17296
R_r1432	10451 and 10452 and 17296
R_r1443	119 or 121
R_r1444	119 or 121
R_r1445	119 or 121
R_r1446	119 or 121
R_r1447	119 or 121
R_r1448	119 or 121
R_r1449	119 or 121
R_r1450	119 or 121
R_r1451	119 or 121
R_r1453	9453
R_r1472	88
R_r1474	3151 and 3247 and 4801
R_r1477	(3247 and 4799 and 5213) or (3247 and 4800 and 5213)
R_r1481	(4803 and 82) or (4803 and 83)
R_r1487	10996 or 16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_RE0565C	14415 or 14416 or 15829 or 21308
R_RE0569C	14415 or 14416 or 15829 or 21308
R_RE0580R	14416 or 14418 or 15829 or 21308
R_RE0912C	11455 or 14903
R_RE1834C	15919 or 33128 or 33159 or 932
R_RE2675C	
R_RE2677R	12555 or 929
R_RE2718C	11455 or 24240
R_RE2722C	11455 or 24240
R_RE3009C	11455
R_RE3103C	14415 or 14416 or 15829 or 21308
R_RE3103R	14416 or 14418 or 15829 or 21308
R_RE3110C	14415 or 14416 or 15829 or 21308
R_RE3110R	14416 or 14418 or 15829 or 21308
R_RE3120C	14415 or 14416 or 15829 or 21308
R_RE3120R	14416 or 14418 or 15829 or 21308
R_RE3124C	14415 or 14416 or 15829 or 21308
R_RE3124R	14416 or 14418 or 15829 or 21308
R_RE3148C	14415 or 14416 or 15829 or 21308
R_RE3148R	14416 or 14418 or 15829 or 21308
R_RE3151C	14415 or 14416 or 15829 or 21308
R_RE3151R	14416 or 14418 or 15829 or 21308
R_RE3161C	14415 or 14416 or 15829 or 21308
R_RE3161R	14416 or 14418 or 15829 or 21308
R_RE3165C	14415 or 14416 or 15829 or 21308
R_RE3165R	14416 or 14418 or 15829 or 21308
R_RE3170C	14415 or 14416 or 15829 or 21308
R_RE3170R	14416 or 14418 or 15829 or 21308
R_RE3174C	14415 or 14416 or 15829 or 21308
R_RE3174R	14416 or 14418 or 15829 or 21308
R_RE3224C	14415 or 14416 or 15829 or 21308
R_RE3224R	14416 or 14418 or 15829 or 21308
R_RE3225C	14415 or 14416 or 15829 or 21308
R_RE3225R	14416 or 14418 or 15829 or 21308
R_RE3226C	14415 or 14416 or 15829 or 21308
R_RE3226R	14416 or 14418 or 15829 or 21308
R_RE3241C	14415 or 14416 or 15829 or 21308
R_RE3241R	14416 or 14418 or 15829 or 21308
R_RE3269C	7450 or 7451
R_FAOXC101C102m	119 or 89
R_FAOXC10C10OHm	
R_DTMPKm	3061
R_FADH2ETC	(3481 and 3482 and 3483) or (3481 and 3482)
R_FMNALKPle	122 or 437
R_IPDDI	23487 or 5387
R_P5CR	25846 or 30262 or 9721
R_AKGMALtm	10980 or 10981
R_ARACHDt2	10999
R_ARACHt	
R_ATPS4m	(14247 and 8016 and 823 and 830 and 833 and 837 and 838 and 840 and 841 and 845 and 846 and 847 and 848) or (14247 and 8016 and 823 and 830 and 833 and 837 and 838 and 840 and 843 and 845 and 846 and 847 and 848)
R_BILDGLCURte	51 or 53 or 54
R_C204CRNt	1421
R_CRNCARtp	2342
R_CYOOm2	(12582 and 12585 and 12586 and 12587 and 12590 and 2265 and 2267 and 2269 and 2277 and 2279 and 2280 and 2285 and 2288 and 2291 and 2292 and 2294 and 24381 and 24382 and 2579 and 29594 and 30862 and 30863 and 7427) or (12582 and 12585 and 12586 and 12587 and 12590 and 2579 and 29594 and 30862 and 30863 and 7427)
R_CYOR_u10m	12582 and 12585 and 12586 and 12587 and 12590 and 2579 and 29594 and 30862 and 30863 and 7427
R_CYSGLUexR	(11026 and 11058) or (11026 and 11063)
R_CYSt4	11047 or 13448
R_DADNt4	11004
R_DCYTt	11004
R_DGSNt	11004
R_DINt	11004
R_DLNLCGt	10999
R_DOPAtu	10966 or 10967 or 10969
R_DURIt	11004
R_ELAIDt	10996
R_HDCEAtr	10996
R_HISTAtu	10966 or 10967 or 10969
R_LNLCt	10999
R_LNLNCAt	10999
R_LNLNCGt	10999
R_NADH2_u10m	(17194 and 20371 and 20372 and 23987 and 30242 and 7455 and 7456 and 7458 and 7459 and 7460 and 7461 and 7462 and 7683 and 7684 and 7685 and 7686 and 7687 and 7688 and 7690 and 7691 and 7692 and 7693 and 7694 and 7695 and 7696 and 7697 and 7698 and 7699 and 7700 and 7701 and 7702 and 7703 and 7704 and 7705 and 7706 and 7707 and 7708 and 7710 and 7711 and 7712 and 7713 and 7714 and 7715 and 7716 and 7717 and 7719) or (17194 and 20371 and 23987 and 30242 and 7455 and 7456 and 7458 and 7459 and 7460 and 7461 and 7462 and 7683 and 7684 and 7685 and 7686 and 7687 and 7688 and 7690 and 7691 and 7692 and 7693 and 7694 and 7695 and 7696 and 7697 and 7698 and 7699 and 7700 and 7701 and 7702 and 7703 and 7704 and 7705 and 7706 and 7707 and 7708 and 7710 and 7711 and 7712 and 7713 and 7714 and 7715 and 7716 and 7717 and 7719)
R_NRPPHRtu	10963 or 10966 or 10967
R_OCDCEAtr	10999
R_PCRNtm	1421
R_PEFLIP	13531 or 13542 or 45
R_PHEtec	17027 or 23087 or 9225
R_PIter	4061
R_r0205	4456
R_r0801	10992
R_r0809	
R_r0812	
R_r0813	54
R_r0817	11060
R_r0819	10980
R_r0821	10980
R_r0822	10980
R_r0825	
R_r0826	
R_r0829	10980
R_r0830	10980
R_r0834	10980
R_r0835	10980
R_r0836	10980
R_r0838	
R_r0839	
R_r0840	
R_r0841	
R_r0842	
R_r0845	11023
R_r0860	
R_r0870	
R_r0879	14409 or 14411
R_r0885	10980
R_r0886	
R_r0892	
R_r0913	10979
R_r0915	10979
R_r0917	10979
R_r0924	13886 and 13887
R_r0934	11052
R_r0942	11055
R_r0946	11067
R_r0947	22921
R_r0954	10922
R_r0960	2295
R_r0961	2295
R_r0983	10999
R_r0984	10999
R_r0992	10905
R_r0993	53
R_r0995	1421
R_r0997	2366
R_r1026	42
R_r1028	42
